frame,time_s,shape_index,side,clearance_to_table_top_m,center_x_m,center_y_m,center_z_m
28,0.9338000000000002,51,right,0.17219240963459015,-0.07674014568328857,-0.20146936178207397,0.37498337030410767
28,0.9338000000000002,52,right,0.13644973933696747,-0.08617062866687775,-0.1992706060409546,0.34904372692108154
28,0.9338000000000002,53,right,0.1220773309469223,-0.07938758283853531,-0.20383229851722717,0.33207276463508606
29,0.9671500000000002,44,left,0.15111257135868073,0.01764489710330963,-0.24627001583576202,0.3620956242084503
29,0.9671500000000002,45,left,0.16825918853282928,0.007602558936923742,-0.240586519241333,0.3711055815219879
29,0.9671500000000002,46,left,0.13234101235866547,0.014394484460353851,-0.24619466066360474,0.34485581517219543
29,0.9671500000000002,47,left,0.1181202381849289,0.0060311974957585335,-0.24357768893241882,0.32818132638931274
29,0.9671500000000002,50,right,0.15350161492824554,-0.08742234855890274,-0.1948486715555191,0.36448466777801514
29,0.9671500000000002,51,right,0.17017041146755219,-0.07645123451948166,-0.19944944977760315,0.3730168044567108
29,0.9671500000000002,52,right,0.13450773060321808,-0.08600310981273651,-0.19705870747566223,0.3471386730670929
29,0.9671500000000002,53,right,0.12006328999996185,-0.07942349463701248,-0.20175500214099884,0.3301243782043457
30,1.0005000000000002,44,left,0.14846383035182953,0.0168903898447752,-0.246138796210289,0.3595189154148102
30,1.0005000000000002,45,left,0.16568906605243683,0.007023118436336517,-0.24025386571884155,0.3685927391052246
30,1.0005000000000002,46,left,0.12978039681911469,0.01353059709072113,-0.2459985911846161,0.3423004746437073
30,1.0005000000000002,47,left,0.11555273830890656,0.005113926250487566,-0.24321426451206207,0.3256800174713135
30,1.0005000000000002,50,right,0.15152443945407867,-0.08710213750600815,-0.1926114410161972,0.3625795245170593
30,1.0005000000000002,51,right,0.1681375354528427,-0.0761709064245224,-0.19743198156356812,0.3710412085056305
30,1.0005000000000002,52,right,0.13255621492862701,-0.08584004640579224,-0.19485022127628326,0.345225065946579
30,1.0005000000000002,53,right,0.11804203689098358,-0.07946666330099106,-0.1996786743402481,0.3281693160533905
31,1.0338500000000002,44,left,0.1458180695772171,0.016087403520941734,-0.24598661065101624,0.35694608092308044
31,1.0338500000000002,45,left,0.16311930119991302,0.0063993982039391994,-0.23990315198898315,0.36608195304870605
31,1.0338500000000002,46,left,0.1272229105234146,0.012619655579328537,-0.24578143656253815,0.3397497236728668
31,1.0338500000000002,47,left,0.1129894107580185,0.004153181798756123,-0.24283094704151154,0.3231833279132843
31,1.0338500000000002,50,right,0.1495368331670761,-0.08678613603115082,-0.1903790682554245,0.36066484451293945
31,1.0338500000000002,51,right,0.16609428822994232,-0.07589942961931229,-0.195417121052742,0.36905694007873535
31,1.0338500000000002,52,right,0.1305956095457077,-0.0856817290186882,-0.1926453411579132,0.34330320358276367
31,1.0338500000000002,53,right,0.11601398885250092,-0.07951729744672775,-0.1976034790277481,0.3262079060077667
32,1.0672000000000001,44,left,0.1431763917207718,0.015237459912896156,-0.24581317603588104,0.3543781340122223
32,1.0672000000000001,45,left,0.16055087745189667,0.005732807796448469,-0.2395341843366623,0.3635741174221039
32,1.0672000000000001,46,left,0.12466941773891449,0.011663231998682022,-0.245542973279953,0.3372044861316681
32,1.0672000000000001,47,left,0.11043111979961395,0.0031505413353443146,-0.2424275428056717,0.3206920623779297
32,1.0672000000000001,50,right,0.14753882586956024,-0.08647363632917404,-0.18815197050571442,0.35874056816101074
32,1.0672000000000001,51,right,0.16404081881046295,-0.07563606649637222,-0.19340522587299347,0.36706405878067017
32,1.0672000000000001,52,right,0.12862588465213776,-0.08552736788988113,-0.1904444843530655,0.3413730263710022
32,1.0672000000000001,53,right,0.11397920548915863,-0.07957448065280914,-0.1955297738313675,0.32424014806747437
33,1.1005500000000001,44,left,0.1405399590730667,0.014341113157570362,-0.24561801552772522,0.3518161177635193
33,1.1005500000000001,45,left,0.15798480808734894,0.00502379797399044,-0.23914656043052673,0.3610701858997345
33,1.1005500000000001,46,left,0.12212096154689789,0.010661895386874676,-0.24528272449970245,0.33466577529907227
